"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Click the link in our bio to see currently open #Labor jobs like ""Loader/Unloader - 2nd shift"" at Cintas Corporatio… https://t.co/aA4aZVHbLK",FALSE,0,NA,2019-07-29 23:55:53,TRUE,NA,"1155990357550624769",NA,"<a href=""https://www.careerarc.com"" rel=""nofollow"">CareerArc 2.0</a>","tmj_sjc_labor",0,FALSE,FALSE,"-121.5682751","37.0057816"
"2","The motive in the #gilroygarlicfestival #shooting is unknown, but three people are dead and 15 injured in another s… https://t.co/qNVSTtzfKu",FALSE,11,NA,2019-07-29 23:40:53,TRUE,NA,"1155986585298452480",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","abc7JoshHaskell",2,FALSE,FALSE,"-121.5607","37.0017"
"3","Love you little man. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> @ Gilroy, California https://t.co/AE1E1xG3t1",FALSE,0,NA,2019-07-29 23:21:43,FALSE,NA,"1155981759298691073",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SaiaMakakaufaki",0,FALSE,FALSE,"-121.5607","37.0017"
"4","The #boy was SIX YEARS OLD.  Mine is four. I know they say you can't let terrorism win.  I once joined the #Army be… https://t.co/6hvsLYqI54",FALSE,0,NA,2019-07-29 22:42:46,TRUE,NA,"1155971956627296256",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jonathonfeit",0,FALSE,FALSE,"-121.56952","37.00774"
"5","Love so much that hate can’t get in. Sending my love to Gilroy. <U+2665><U+FE0F> @ Gilroy, California https://t.co/6NRycDcgKJ",FALSE,10,NA,2019-07-29 21:51:16,FALSE,NA,"1155958999558180866",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cayleehammack",2,FALSE,FALSE,"-121.5607","37.0017"
"6","Tell a friend you love them, ask a stranger how their day is, say a prayer for those who can’t. Love so much that h… https://t.co/DGtep5gwA6",FALSE,17,NA,2019-07-29 21:29:35,TRUE,NA,"1155953539740389376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cayleehammack",2,FALSE,FALSE,"-121.5607","37.0017"
"7","Just posted a photo @ Gilroy, California https://t.co/eq9GGEfdGn",FALSE,0,NA,2019-07-29 20:49:51,FALSE,NA,"1155943541152944128",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RelicsMall",0,FALSE,FALSE,"-121.5607","37.0017"
"8","gilroy_police_department #chief and his team are to be commended for their bravery and response   today’s… https://t.co/g8SozyAjYs",FALSE,15,NA,2019-07-29 20:35:54,TRUE,NA,"1155940032714141696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ErinClarkKSBW8",2,FALSE,FALSE,"-121.5607","37.0017"
"9","current weather in Gilroy: clear sky, 75°F
53% humidity, wind 7mph, pressure 1015mb",FALSE,0,NA,2019-07-29 20:19:20,FALSE,NA,"1155935860925190145",NA,"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>","GilroyCA",0,FALSE,FALSE,"-121.57","37"
"10","Prayers out to All those families and friends who live in Gilroy<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
.
#prayersforhealing #gilroy #communityprayers <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>… https://t.co/LuZfVrmLhb",FALSE,0,NA,2019-07-29 20:02:42,TRUE,NA,"1155931678138724352",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kdetroia",0,FALSE,FALSE,"-121.5607","37.0017"
